"id","herbarium_id","archive_filename","specimen_id","width","height","archive_file_size","jp2file_size","finalized","created_at","jp2filename","message"
"22570","1","prc_469780.tif","469780","9443","13373","378907624","17653573","1","2024-07-08 14:56:41","prc_469780.jp2",NULL
"22571","1","prc_469781.tif","469781","9443","13373","378907624","16476890","1","2024-07-08 14:56:41","prc_469781.jp2",NULL
"22572","1","prc_469782.tif","469782","9443","13373","378907624","16982151","1","2024-07-08 14:56:41","prc_469782.jp2",NULL
"22573","1","prc_469783.tif","469783","9443","13373","378907624","16465006","1","2024-07-08 14:56:41","prc_469783.jp2",NULL
"22574","1","prc_469784.tif","469784","9443","13373","378907624","12110609","1","2024-07-08 14:56:41","prc_469784.jp2",NULL
"22575","1","prc_469785.tif","469785","9283","13341","371596456","14328832","1","2024-07-08 14:56:41","prc_469785.jp2",NULL
"22576","1","prc_469786.tif","469786","9283","13341","371596456","4540273","1","2024-07-08 14:56:41","prc_469786.jp2",NULL
"22577","1","prc_469787.tif","469787","9283","13341","371596456","5568956","1","2024-07-08 14:56:41","prc_469787.jp2",NULL
"22578","1","prc_469788.tif","469788","9283","13341","371596456","6451274","1","2024-07-08 14:56:41","prc_469788.jp2",NULL
"22579","1","prc_469789.tif","469789","9283","13341","371596456","17894619","1","2024-07-08 14:56:41","prc_469789.jp2",NULL
"22580","1","prc_469790.tif","469790","9283","13341","371596456","7462099","1","2024-07-08 14:56:41","prc_469790.jp2",NULL
"22581","1","prc_469791.tif","469791","9283","13341","371596456","10644078","1","2024-07-08 14:56:41","prc_469791.jp2",NULL
"22582","1","prc_469792.tif","469792","9283","13341","371596456","9154719","1","2024-07-08 14:56:41","prc_469792.jp2",NULL
"22583","1","prc_469793.tif","469793","9283","13341","371596456","8374023","1","2024-07-08 14:56:41","prc_469793.jp2",NULL
"22584","1","prc_469794.tif","469794","9283","13341","371596456","4591343","1","2024-07-08 14:56:41","prc_469794.jp2",NULL
"22585","1","prc_469795.tif","469795","9283","13341","371596456","4581913","1","2024-07-08 14:56:41","prc_469795.jp2",NULL
"22586","1","prc_469796.tif","469796","9283","13341","371596456","6302842","1","2024-07-08 14:56:41","prc_469796.jp2",NULL
"22587","1","prc_469797.tif","469797","9283","13341","371596456","6073148","1","2024-07-08 14:56:41","prc_469797.jp2",NULL
"22588","1","prc_469798.tif","469798","9283","13341","371596456","5343467","1","2024-07-08 14:56:41","prc_469798.jp2",NULL
"22589","1","prc_469802.tif","469802","9443","13389","379360888","10970872","1","2024-07-08 14:56:41","prc_469802.jp2",NULL
"22590","1","prc_469803.tif","469803","9443","13389","379360888","11528565","1","2024-07-08 14:56:41","prc_469803.jp2",NULL
"22591","1","prc_469804.tif","469804","9443","13389","379360888","5560158","1","2024-07-08 14:56:41","prc_469804.jp2",NULL
"22592","1","prc_469805.tif","469805","9187","12990","358081264","5510345","1","2024-07-08 14:56:41","prc_469805.jp2",NULL
"22593","1","prc_469806.tif","469806","9075","12990","353716144","6009042","1","2024-07-08 14:56:41","prc_469806.jp2",NULL
"22594","1","prc_469807.tif","469807","9075","12990","353716144","6376030","1","2024-07-08 14:56:41","prc_469807.jp2",NULL
"22595","1","prc_469807a.tif","469807","9155","12990","356834224","6048717","1","2024-07-08 14:56:41","prc_469807a.jp2",NULL
"22596","1","prc_469808.tif","469808","9187","12990","358081264","2351294","1","2024-07-08 14:56:41","prc_469808.jp2",NULL
"22597","1","prc_469809.tif","469809","9171","12990","357457744","3961793","1","2024-07-08 14:56:41","prc_469809.jp2",NULL
"22598","1","prc_469810.tif","469810","9171","12990","357457744","4286052","1","2024-07-08 14:56:41","prc_469810.jp2",NULL
"22599","1","prc_469811.tif","469811","9155","12990","356834224","2602896","1","2024-07-08 14:56:41","prc_469811.jp2",NULL
"22600","1","prc_469812.tif","469812","9075","12990","353716144","2953997","1","2024-07-08 14:56:41","prc_469812.jp2",NULL
"22601","1","prc_469813.tif","469813","9443","13373","378907624","12039607","1","2024-07-08 14:56:41","prc_469813.jp2",NULL
"22602","1","prc_469814.tif","469814","9443","13373","378907624","9293517","1","2024-07-08 14:56:41","prc_469814.jp2",NULL
"22603","1","prc_469815.tif","469815","9443","13373","378907624","15740507","1","2024-07-08 14:56:41","prc_469815.jp2",NULL
"22604","1","prc_469816.tif","469816","9443","13373","378907624","19431938","1","2024-07-08 14:56:41","prc_469816.jp2",NULL
"22605","1","prc_469817.tif","469817","9443","13373","378907624","14699735","1","2024-07-08 14:56:41","prc_469817.jp2",NULL
"22606","1","prc_469818.tif","469818","9443","13373","378907624","7695370","1","2024-07-08 14:56:41","prc_469818.jp2",NULL
"22607","1","prc_469819.tif","469819","9443","13373","378907624","9061519","1","2024-07-08 14:56:41","prc_469819.jp2",NULL
"22608","1","prc_469820.tif","469820","9443","13373","378907624","9809662","1","2024-07-08 14:56:41","prc_469820.jp2",NULL
